model_name,model_size,language,task,total_samples,correct_answers,incorrect_answers,invalid_answers,option_a_chosen,option_b_chosen,accuracy
Llama-3.2-1B,1B,en,AB,400,185,198,17,351,32,0.4625
Llama-3.2-1B,1B,en,BC,400,190,201,9,347,44,0.475
Llama-3.2-1B,1B,en,CA,400,161,226,13,337,50,0.4025
Llama-3.2-3B,3B,en,AB,400,202,194,4,357,39,0.505
Llama-3.2-3B,3B,en,BC,400,207,178,15,340,45,0.5175
Llama-3.2-3B,3B,en,CA,400,136,246,18,306,76,0.34
Llama-3.2-1B,1B,hi,AB,400,196,204,0,390,10,0.49
Llama-3.2-1B,1B,hi,BC,400,203,197,0,387,13,0.5075
Llama-3.2-1B,1B,hi,CA,400,185,215,0,377,23,0.4625
Llama-3.2-3B,3B,hi,AB,400,183,213,4,170,226,0.4575
Llama-3.2-3B,3B,hi,BC,400,178,215,7,189,204,0.445
Llama-3.2-3B,3B,hi,CA,400,110,286,4,199,197,0.275
Llama-3.2-1B,1B,es,AB,400,155,244,1,277,122,0.3875
Llama-3.2-1B,1B,es,BC,400,240,159,1,281,118,0.6
Llama-3.2-1B,1B,es,CA,400,202,198,0,262,138,0.505
Llama-3.2-3B,3B,es,AB,400,199,195,6,376,18,0.4975
Llama-3.2-3B,3B,es,BC,400,211,182,7,365,28,0.5275
Llama-3.2-3B,3B,es,CA,400,177,218,5,355,40,0.4425
Llama-3.2-1B,1B,ar,AB,400,174,225,1,66,333,0.435
Llama-3.2-1B,1B,ar,BC,400,214,186,0,78,322,0.535
Llama-3.2-1B,1B,ar,CA,400,190,210,0,46,354,0.475
Llama-3.2-3B,3B,ar,AB,400,216,184,0,210,190,0.54
Llama-3.2-3B,3B,ar,BC,400,233,167,0,207,193,0.5825
Llama-3.2-3B,3B,ar,CA,400,138,262,0,168,232,0.345
Llama-3.2-1B,1B,zh-cn,AB,400,168,230,2,297,101,0.42
Llama-3.2-1B,1B,zh-cn,BC,400,196,202,2,244,154,0.49
Llama-3.2-1B,1B,zh-cn,CA,400,183,217,0,229,171,0.4575
Llama-3.2-3B,3B,zh-cn,AB,400,214,186,0,128,272,0.535
Llama-3.2-3B,3B,zh-cn,BC,400,164,236,0,124,276,0.41
Llama-3.2-3B,3B,zh-cn,CA,400,178,222,0,118,282,0.445
